Field,Value,Extra,Extra2,Drive Link
month,April,,,
year,2026,,,
ceo_name,Maulik Shah,,,
ceo_title,Founder & CEO,,,
ceo_message,"As we move into the next phase of the year, I want to thank each of you for your dedication and the impact you have made.",,,
ceo_photo,,,,https://drive.google.com/file/d/YOUR_FILE_ID/view
campaign_banner,,,,https://drive.google.com/file/d/YOUR_FILE_ID/view
new_customer,,,,https://github.com/biztechdesign/Newsletter/tree/main/images/new_customers
delivery,"We are pleased to announce the successful go-live of the ACG platform migration from v16 to v19.",,,https://drive.google.com/file/d/YOUR_FILE_ID/view
excellence,"I want to mention that we successfully completed the server migration. Sarvil did a great job. Sarvil and Milan are gold for me!",PaceX Client for Milan and Sarvil:,,https://drive.google.com/file/d/YOUR_FILE_ID/view
hr_wellness_title,Wellness & HR Corner,,,
hr_wellness_banner,,,,https://drive.google.com/file/d/YOUR_FILE_ID/view
hr_event,Equality Day Celebration,,,https://github.com/biztechdesign/Newsletter/tree/main/images/events_1
hr_event,Team Outing,,,https://github.com/biztechdesign/Newsletter/tree/main/images/events_2
hr_event,Diwali Celebration,,,https://github.com/biztechdesign/Newsletter/tree/main/images/events_3
anniversary,March-2026,,,https://drive.google.com/file/d/YOUR_FILE_ID/view
award,Appreciation Award,Heema Patel,Business Development Executive,https://drive.google.com/file/d/YOUR_FILE_ID/view
award,Spotlight Award,Nawabhusen Solanki,Business Development Executive,https://drive.google.com/file/d/YOUR_FILE_ID/view
award,Team Spirit Award,Uttam Jain,Lead Odoo Consultant,https://drive.google.com/file/d/YOUR_FILE_ID/view
award,Team Spirit Award,Pooja Dahale,Sr. Odoo Functional Consultant,https://drive.google.com/file/d/YOUR_FILE_ID/view
employee_certification,,,,https://github.com/biztechdesign/Newsletter/tree/main/images/certification
new_joinee,,,,https://github.com/biztechdesign/Newsletter/tree/main/images/new_joinees
opening,SEO Executive,2,1+ Years,
opening,Customer Success Executive,1,1 to 2 Years,
opening,Business Development Intern,5,Fresher,
new_openings_sheet,,,,https://docs.google.com/spreadsheets/d/YOUR_SHEET_ID/edit
blog,Custom AI Development vs. Generic Tools,https://www.biztechcs.com/blog/custom-ai/,,https://drive.google.com/file/d/YOUR_FILE_ID/view
blog,Top 10 Ways AI is Cutting Business Costs,https://www.biztechcs.com/blog/ai-costs/,,https://drive.google.com/file/d/YOUR_FILE_ID/view
new_announcement,,,,https://github.com/biztechdesign/Newsletter/tree/main/images/announcement
